r     y     u
1.000 0.991 1.740
1.00 0.994 1.738
1.000 0.995 1.791
1.000 0.996 1.790
1.000 1.000 1.735
1.000 1.001 1.787
1.000 1.003 1.759
1.000 1.004 1.784
1.000 1.006 1.783
1.000 1.008 1.754
1.000 1.009 1.780
1.000 1.010 1.779
1.000 1.012 1.750
1.000 1.014 1.775
1.000 1.014 1.801
1.000 1.015 1.773
1.000 1.017 1.744
1.000 1.017 1.796
1.000 1.018 1.768
1.000 1.018 1.794
1.000 1.018 1.793
1.000 1.019 1.764
1.000 1.019 1.790
1.000 1.022 1.734
1.000 1.022 1.786
1.000 1.022 1.785
1.000 1.022 1.784
1.000 1.022 1.783
1.000 1.023 1.755
1.000 1.023 1.780
1.000 1.023 1.779
1.000 1.023 1.778
1.000 1.023 1.777
1.000 1.022 1.804
1.000 1.023 1.748
1.000 1.022 1.801
1.000 1.022 1.774
1.000 1.022 1.773
1.000 1.022 1.772
1.000 1.019 1.826
1.000 1.019 1.772
1.00 1.018 1.798
1.000 1.018 1.771
1.000 1.017 1.797
1.000 1.017 1.770
1.000 1.015 1.824
1.000 1.015 1.770
1.000 1.014 1.797
1.000 1.014 1.770
1.00 1.012 1.796
1.000 1.012 1.769
1.000 1.012 1.769
1.000 1.010 1.823
1.000 1.010 1.769
1.000 1.010 1.769
1.000 1.009 1.796
1.000 1.009 1.769
1.000 1.009 1.768
1.000 1.009 1.768
1.000 1.009 1.767
1.000 1.009 1.767
1.000 1.009 1.767
1.000 1.009 1.766
1.000 1.009 1.766
1.000 1.009 1.765
1.000 1.009 1.765
1.000 1.009 1.764
1.00 1.008 1.792
1.000 1.008 1.764
1.000 1.008 1.764
1.000 1.008 1.764
1.000 1.008 1.763
1.000 1.006 1.818
1.000 1.006 1.764
1.000 1.006 1.764
1.00 1.004 1.791
1.000 1.004 1.765
1.000 1.004 1.764
1.000 1.004 1.764
1.000 1.004 1.764
1.000 1.003 1.791
1.000 1.003 1.764
1.000 1.004 1.737
1.000 1.004 1.763
1.000 1.004 1.763
1.000 1.003 1.790
1.000 1.003 1.764
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.001 1.818
1.000 1.001 1.765
1.000 1.000 1.792
1.000 1.000 1.765
1.000 0.999 1.793
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.996 1.822
1.000 0.996 1.768
1.000 0.996 1.769
1.000 0.995 1.796
1.000 0.995 1.770
1.000 0.995 1.770
1.000 0.995 1.770
1.000 0.995 1.771
1.000 0.995 1.771
1.000 0.995 1.771
1.000 0.995 1.771
1.000 0.995 1.771
1.000 0.995 1.772
1.000 0.996 1.744
1.000 0.996 1.771
1.000 0.996 1.771
1.000 0.996 1.772
1.000 0.999 1.717
1.000 0.999 1.770
1.000 0.999 1.770
1.000 1.000 1.743
1.000 1.000 1.769
1.00 1.001 1.742
1.000 1.001 1.769
1.000 1.001 1.768
1.000 1.003 1.713
1.000 1.003 1.767
1.000 1.003 1.766
1.000 1.003 1.766
1.000 1.003 1.766
1.000 1.003 1.766
1.000 1.003 1.766
1.000 1.003 1.766
1.000 1.003 1.765
1.000 1.003 1.765
1.000 1.001 1.820
1.000 1.001 1.767
1.000 1.001 1.767
1.000 1.001 1.767
1.000 1.001 1.767
1.000 1.001 1.767
1.000 1.001 1.767
1.000 1.001 1.767
1.000 1.001 1.767
1.000 1.001 1.766
1.000 1.001 1.766
1.000 1.003 1.711
1.000 1.003 1.765
1.000 1.003 1.764
1.000 1.003 1.764
1.000 1.003 1.764
1.000 1.003 1.764
1.000 1.003 1.764
1.000 1.003 1.764
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.001 1.817
1.000 1.001 1.764
1.000 1.001 1.764
1.00 1.000 1.791
1.000 1.000 1.765
1.000 1.000 1.765
1.000 0.999 1.792
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.00 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.000 1.000 1.739
1.000 1.000 1.766
1.000 1.000 1.766
1.000 1.000 1.766
1.000 1.000 1.766
1.000 1.000 1.766
1.000 1.001 1.738
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.764
1.000 1.001 1.764
1.000 1.001 1.764
1.000 1.001 1.764
1.000 1.001 1.764
1.000 1.000 1.792
1.000 1.000 1.765
1.000 1.000 1.765
1.000 1.000 1.765
1.000 0.999 1.793
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.00 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.767
1.000 0.999 1.767
1.000 0.999 1.767
1.000 1.000 1.739
1.000 1.000 1.766
1.000 1.000 1.766
1.000 1.000 1.766
1.000 1.001 1.738
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.003 1.710
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.762
1.000 1.003 1.762
1.00 1.001 1.817
1.000 1.001 1.764
1.000 1.001 1.764
1.000 1.001 1.764
1.000 1.000 1.791
1.000 1.000 1.764
1.000 1.000 1.765
1.000 1.000 1.765
1.000 1.000 1.765
1.000 0.999 1.792
1.000 0.999 1.765
1.000 0.999 1.766
1.000 0.996 1.821
1.000 0.996 1.768
1.000 0.996 1.768
1.000 0.996 1.768
1.000 0.996 1.768
1.000 0.996 1.768
1.000 0.999 1.713
1.000 0.999 1.767
1.000 0.999 1.767
1.000 0.999 1.767
1.000 1.000 1.739
1.000 1.000 1.766
1.000 1.000 1.766
1.000 1.000 1.766
1.000 1.001 1.739
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.003 1.710
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.762
1.000 1.001 1.817
1.000 1.001 1.764
1.000 1.001 1.764
1.000 1.001 1.764
1.000 1.000 1.791
1.000 1.000 1.765
1.000 1.000 1.765
1.000 1.000 1.765
1.000 0.999 1.792
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.999 1.766
1.000 0.996 1.821
1.000 0.996 1.768
1.000 0.999 1.713
1.000 0.999 1.766
1.000 0.999 1.767
1.000 1.000 1.739
1.000 1.000 1.766
1.000 1.000 1.766
1.000 1.000 1.766
1.000 1.001 1.738
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.003 1.710
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.762
1.000 1.003 1.762
1.000 1.003 1.762
1.000 1.003 1.762
