r     y     u
1.000 0.986 1.692
1.000 0.987 1.745
1.000 0.991 1.689
1.000 0.992 1.742
1.000 0.994 1.714
1.000 0.995 1.740
1.000 0.996 1.740
1.000 0.999 1.712
1.000 1.000 1.737
1.000 1.001 1.737
1.000 1.003 1.708
1.000 1.003 1.761
1.000 1.004 1.734
1.000 1.006 1.733
1.000 1.008 1.704
1.000 1.008 1.757
1.000 1.009 1.729
1.000 1.010 1.728
1.000 1.010 1.754
1.000 1.012 1.698
1.000 1.014 1.724
1.000 1.015 1.722
1.000 1.017 1.693
1.000 1.017 1.745
1.000 1.018 1.717
1.000 1.019 1.715
1.000 1.022 1.686
1.000 1.022 1.738
1.000 1.023 1.710
1.000 1.023 1.735
1.000 1.024 1.707
1.000 1.024 1.732
1.000 1.026 1.676
1.000 1.026 1.728
1.000 1.026 1.727
1.000 1.026 1.726
1.000 1.027 1.697
1.000 1.026 1.750
1.000 1.026 1.722
1.000 1.026 1.721
1.000 1.026 1.719
1.000 1.024 1.773
1.000 1.023 1.746
1.000 1.023 1.718
1.000 1.022 1.745
1.000 1.022 1.717
1.000 1.019 1.771
1.000 1.018 1.745
1.000 1.018 1.717
1.000 1.017 1.744
1.000 1.015 1.771
1.000 1.015 1.717
1.000 1.014 1.744
1.000 1.014 1.717
1.000 1.012 1.744
1.000 1.010 1.771
1.000 1.010 1.718
1.000 1.009 1.745
1.000 1.009 1.718
1.000 1.009 1.717
1.000 1.008 1.744
1.000 1.008 1.717
1.000 1.006 1.772
1.000 1.006 1.718
1.000 1.004 1.746
1.000 1.004 1.719
1.000 1.003 1.746
1.000 1.003 1.719
1.000 1.003 1.719
1.000 1.001 1.774
1.000 1.001 1.721
1.000 1.000 1.748
1.000 1.000 1.721
1.000 1.000 1.721
1.000 1.000 1.721
1.000 1.000 1.721
1.000 1.000 1.722
1.000 0.999 1.749
1.000 0.999 1.722
1.000 0.999 1.723
1.000 0.999 1.723
1.000 0.999 1.723
1.000 0.999 1.723
1.000 0.999 1.723
1.000 0.999 1.723
1.000 0.996 1.778
1.000 0.996 1.725
1.000 0.996 1.725
1.000 0.995 1.753
1.000 0.995 1.726
1.000 0.995 1.726
1.000 0.995 1.727
1.000 0.994 1.754
1.000 0.994 1.728
1.000 0.994 1.728
1.000 0.994 1.729
1.000 0.994 1.729
1.000 0.992 1.784
1.000 0.992 1.731
1.000 0.992 1.732
1.000 0.992 1.732
1.000 0.992 1.733
1.000 0.992 1.733
1.000 0.992 1.733
1.000 0.992 1.734
1.000 0.992 1.734
1.000 0.992 1.735
1.000 0.992 1.735
1.000 0.994 1.680
1.000 0.994 1.734
1.000 0.994 1.734
1.000 0.994 1.734
1.000 0.994 1.735
1.000 0.995 1.707
1.000 0.995 1.734
1.000 0.995 1.735
1.000 0.995 1.735
1.000 0.995 1.735
1.000 0.995 1.735
1.000 0.996 1.708
1.000 0.996 1.735
1.000 0.996 1.735
1.000 0.996 1.735
1.000 0.999 1.680
1.000 0.999 1.734
1.000 0.999 1.734
1.000 0.999 1.734
1.000 0.999 1.734
1.000 0.999 1.734
1.000 0.999 1.734
1.000 0.999 1.734
1.000 0.999 1.734
1.000 0.996 1.789
1.000 0.996 1.736
1.000 0.996 1.736
1.000 0.996 1.736
1.000 0.996 1.737
1.000 0.996 1.737
1.000 0.996 1.737
1.000 0.996 1.737
1.000 0.996 1.737
1.000 0.996 1.737
1.000 0.996 1.738
1.000 0.996 1.738
1.000 0.996 1.738
1.000 0.996 1.738
1.000 0.996 1.738
1.000 0.996 1.739
1.000 0.996 1.739
1.000 0.995 1.766
1.000 0.995 1.740
1.000 0.995 1.740
1.000 0.995 1.740
1.000 0.995 1.741
1.000 0.995 1.741
1.000 0.994 1.769
1.000 0.994 1.742
1.000 0.994 1.743
1.000 0.994 1.743
1.000 0.994 1.743
1.000 0.994 1.743
1.000 0.994 1.744
1.000 0.995 1.716
1.000 0.995 1.743
1.000 0.995 1.744
1.000 0.995 1.744
1.000 0.996 1.717
1.000 0.996 1.743
1.000 0.996 1.744
1.000 0.996 1.744
1.000 0.999 1.689
1.000 0.999 1.742
1.000 0.999 1.742
1.000 0.999 1.742
1.000 1.000 1.715
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.000 1.742
1.000 1.001 1.714
1.000 1.001 1.741
1.000 1.001 1.741
1.000 1.001 1.741
1.000 1.001 1.741
1.000 1.001 1.741
1.000 1.001 1.741
1.000 1.001 1.741
1.000 1.003 1.685
1.000 1.003 1.739
1.000 1.003 1.738
1.000 1.003 1.738
1.000 1.003 1.738
1.000 1.003 1.738
1.000 1.003 1.738
1.000 1.003 1.738
1.000 1.003 1.738
1.000 1.003 1.737
1.000 1.003 1.737
1.000 1.003 1.737
1.000 1.003 1.737
1.000 1.003 1.737
1.000 1.003 1.737
1.000 1.004 1.709
1.000 1.003 1.763
1.000 1.003 1.736
1.000 1.003 1.736
1.000 1.003 1.736
1.000 1.003 1.736
1.000 1.003 1.735
1.000 1.003 1.735
1.000 1.003 1.735
1.000 1.003 1.735
1.000 1.003 1.735
1.000 1.003 1.735
1.000 1.003 1.735
1.000 1.003 1.734
1.000 1.003 1.734
1.000 1.004 1.707
1.000 1.004 1.733
1.000 1.004 1.733
1.000 1.006 1.705
1.000 1.006 1.731
1.000 1.006 1.731
1.000 1.006 1.731
1.000 1.008 1.676
1.000 1.008 1.729
1.000 1.008 1.728
1.000 1.008 1.728
1.000 1.008 1.727
1.000 1.008 1.727
1.000 1.008 1.727
1.000 1.008 1.726
1.000 1.008 1.726
1.000 1.006 1.781
1.000 1.006 1.727
1.000 1.006 1.727
1.000 1.004 1.754
1.000 1.004 1.727
1.000 1.004 1.727
1.000 1.004 1.727
1.000 1.003 1.754
1.000 1.003 1.727
1.000 1.003 1.727
1.000 1.001 1.782
1.000 1.001 1.729
1.000 1.001 1.729
1.000 1.001 1.729
1.000 1.000 1.756
1.000 1.001 1.702
1.000 1.000 1.756
1.000 1.000 1.729
1.000 1.000 1.729
1.000 1.000 1.729
1.000 1.000 1.729
1.000 1.000 1.729
1.000 1.000 1.729
1.000 1.000 1.729
1.000 1.000 1.729
1.000 1.000 1.729
1.000 0.999 1.757
1.000 0.999 1.730
1.000 0.999 1.730
1.000 0.999 1.731
1.000 0.996 1.786
1.000 0.996 1.733
1.000 0.996 1.733
1.000 0.995 1.760
1.000 0.995 1.734
1.000 0.995 1.734
1.000 0.994 1.762
1.000 0.994 1.736
1.000 0.992 1.791
1.000 0.992 1.738
1.000 0.992 1.738
1.000 0.991 1.766
1.000 0.991 1.740
1.000 0.991 1.741
1.000 0.991 1.741
1.000 0.991 1.741
1.000 0.991 1.742
1.000 0.991 1.742
1.000 0.991 1.743
1.000 0.991 1.743
1.000 0.992 1.716
1.000 0.992 1.743
1.000 0.992 1.744
1.000 0.992 1.744
1.000 0.992 1.744
1.000 0.992 1.745
1.000 0.994 1.690
1.000 0.994 1.744
1.000 0.994 1.744
1.000 0.994 1.744
1.000 0.994 1.745
1.000 0.994 1.745
1.000 0.992 1.800
1.000 0.992 1.747
1.000 0.992 1.748
1.000 0.992 1.748
1.000 0.991 1.776
1.000 0.991 1.750
1.000 0.991 1.750
1.000 0.989 1.778
1.000 0.989 1.752
1.000 0.989 1.753
1.000 0.989 1.753
1.000 0.989 1.754
1.000 0.989 1.754
1.000 0.989 1.755
1.000 0.989 1.755
1.000 0.989 1.756
1.000 0.991 1.729
1.000 0.991 1.756
1.000 0.991 1.756
1.000 0.992 1.729
1.000 0.992 1.756
1.000 0.992 1.756
1.000 0.992 1.757
1.000 0.994 1.702
1.000 0.994 1.756
1.000 0.994 1.756
1.000 0.994 1.756
1.000 0.995 1.729
1.000 0.995 1.756
1.000 0.995 1.756
1.000 0.995 1.756
1.000 0.995 1.757
1.000 0.995 1.757
1.000 0.994 1.785
1.000 0.994 1.758
1.000 0.994 1.759
1.000 0.994 1.759
1.000 0.994 1.759
1.000 0.994 1.759
1.000 0.994 1.760
1.000 0.994 1.760
1.000 0.994 1.760
1.000 0.995 1.733
1.000 0.995 1.760
1.000 0.995 1.760
1.000 0.996 1.733
1.000 0.996 1.760
1.000 0.996 1.760
1.000 0.999 1.705
1.000 0.999 1.758
1.000 1.000 1.731
1.000 1.000 1.758
1.000 1.001 1.730
1.000 1.001 1.757
1.000 1.001 1.757
1.000 1.003 1.702
1.000 1.003 1.755
1.000 1.003 1.755
1.000 1.003 1.754
1.000 1.003 1.754
1.000 1.003 1.754
1.000 1.003 1.754
1.000 1.003 1.754
1.000 1.003 1.754
1.000 1.001 1.809
1.000 1.001 1.755
1.000 1.001 1.755
1.000 1.001 1.755
1.000 1.001 1.755
1.000 1.000 1.783
1.000 1.001 1.728
1.000 1.001 1.755
1.000 1.000 1.782
1.000 1.001 1.728
1.000 1.001 1.755
1.000 1.001 1.755
1.000 1.001 1.755
1.000 1.001 1.755
1.000 1.003 1.700
1.000 1.003 1.753
1.000 1.003 1.753
1.000 1.004 1.725
1.000 1.004 1.751
1.000 1.004 1.751
1.000 1.006 1.724
1.000 1.006 1.750
1.000 1.008 1.695
1.000 1.008 1.748
1.000 1.008 1.747
1.000 1.009 1.719
1.000 1.009 1.746
1.000 1.009 1.745
1.000 1.009 1.745
1.000 1.009 1.744
1.000 1.009 1.744
1.000 1.009 1.743
1.000 1.009 1.743
1.000 1.009 1.743
1.000 1.008 1.770
1.000 1.008 1.743
1.000 1.008 1.742
1.000 1.006 1.797
1.000 1.006 1.743
1.000 1.004 1.771
1.000 1.004 1.744
1.000 1.003 1.771
1.000 1.003 1.744
1.000 1.001 1.799
1.000 1.001 1.746
1.000 1.000 1.773
1.000 1.000 1.747
1.000 1.000 1.747
1.000 0.999 1.774
1.000 0.999 1.748
1.000 0.999 1.748
1.000 0.996 1.803
1.000 0.996 1.750
1.000 0.996 1.750
1.000 0.996 1.750
1.000 0.996 1.750
1.000 0.996 1.750
1.000 0.996 1.750
1.000 0.996 1.751
1.000 0.996 1.751
1.000 0.996 1.751
1.000 0.996 1.751
1.000 0.996 1.751
1.000 0.996 1.752
1.000 0.999 1.697
1.000 0.999 1.750
1.000 1.000 1.723
1.000 1.000 1.749
1.000 1.001 1.722
1.000 1.001 1.748
1.000 1.001 1.748
1.000 1.003 1.693
1.000 1.003 1.746
1.000 1.003 1.746
1.000 1.003 1.746
1.000 1.003 1.746
1.000 1.003 1.746
0.350 1.001 1.770
0.350 1.000 1.713
0.350 1.000 1.655
0.350 0.999 1.652
0.350 0.996 1.650
0.350 0.995 1.593
0.350 0.994 1.563
0.350 0.991 1.589
0.350 0.987 1.561
0.350 0.985 1.506
0.350 0.981 1.505
0.350 0.976 1.532
0.350 0.969 1.534
0.350 0.963 1.483
0.350 0.955 1.513
0.350 0.946 1.518
0.350 0.936 1.496
0.350 0.926 1.503
0.350 0.913 1.538
0.350 0.900 1.548
0.350 0.886 1.533
0.350 0.871 1.545
0.350 0.854 1.587
0.350 0.838 1.548
0.350 0.819 1.592
0.350 0.802 1.556
0.350 0.782 1.603
0.350 0.764 1.569
0.350 0.746 1.563
0.350 0.727 1.558
0.350 0.709 1.554
0.350 0.690 1.551
0.350 0.673 1.521
0.350 0.655 1.546
0.350 0.637 1.518
0.350 0.621 1.490
0.350 0.607 1.434
0.350 0.591 1.488
0.350 0.578 1.433
0.350 0.566 1.378
0.350 0.553 1.404
0.350 0.541 1.403
0.350 0.530 1.349
0.350 0.521 1.321
0.350 0.513 1.292
0.350 0.506 1.263
0.350 0.498 1.288
0.350 0.490 1.287
0.350 0.486 1.204
0.350 0.480 1.228
0.350 0.475 1.199
0.350 0.471 1.196
0.350 0.466 1.194
0.350 0.462 1.165
0.350 0.460 1.134
0.350 0.456 1.186
0.350 0.452 1.157
0.350 0.449 1.155
0.350 0.446 1.125
0.350 0.443 1.150
0.350 0.439 1.148
0.350 0.437 1.119
0.350 0.434 1.144
0.350 0.429 1.170
0.350 0.426 1.142
0.350 0.421 1.169
0.350 0.419 1.114
0.350 0.415 1.140
0.350 0.411 1.167
0.350 0.406 1.167
0.350 0.402 1.168
0.350 0.397 1.169
0.350 0.392 1.170
0.350 0.388 1.172
0.350 0.383 1.173
0.350 0.380 1.148
0.350 0.375 1.176
0.350 0.370 1.179
0.350 0.366 1.181
0.350 0.361 1.184
0.350 0.359 1.132
0.350 0.354 1.188
0.350 0.350 1.191
0.350 0.346 1.167
0.350 0.342 1.198
0.350 0.338 1.174
0.350 0.336 1.150
0.350 0.332 1.180
0.350 0.328 1.210
0.350 0.327 1.132
0.350 0.323 1.189
0.350 0.322 1.138
0.350 0.319 1.195
0.350 0.318 1.145
0.350 0.318 1.119
0.350 0.315 1.176
0.350 0.315 1.124
0.350 0.314 1.154
0.350 0.314 1.129
0.350 0.314 1.130
0.350 0.314 1.132
0.350 0.314 1.134
0.350 0.315 1.108
0.350 0.315 1.136
0.350 0.315 1.138
0.350 0.315 1.140
0.350 0.318 1.086
0.350 0.318 1.141
0.350 0.318 1.143
0.350 0.318 1.144
0.350 0.318 1.146
0.350 0.318 1.147
0.350 0.318 1.149
0.350 0.318 1.150
0.350 0.318 1.152
0.350 0.318 1.153
0.350 0.318 1.155
0.350 0.318 1.156
0.350 0.318 1.158
0.350 0.315 1.215
0.350 0.315 1.163
0.350 0.315 1.165
0.350 0.315 1.166
0.350 0.315 1.168
0.350 0.315 1.170
0.350 0.315 1.171
0.350 0.315 1.173
0.350 0.318 1.119
0.350 0.318 1.174
0.350 0.319 1.148
0.350 0.319 1.176
0.350 0.320 1.150
0.350 0.322 1.123
0.350 0.323 1.151
0.350 0.324 1.151
0.350 0.327 1.124
0.350 0.327 1.178
0.350 0.328 1.152
0.350 0.329 1.152
0.350 0.331 1.125
0.350 0.331 1.179
0.350 0.332 1.152
0.350 0.334 1.152
0.350 0.334 1.180
0.350 0.336 1.125
0.350 0.336 1.179
0.350 0.337 1.152
0.350 0.337 1.180
0.350 0.337 1.180
0.350 0.337 1.181
0.350 0.337 1.182
0.350 0.338 1.155
0.350 0.338 1.182
0.350 0.338 1.182
0.350 0.338 1.183
0.350 0.338 1.184
0.350 0.337 1.212
0.350 0.337 1.186
0.350 0.338 1.159
0.350 0.337 1.213
0.350 0.338 1.160
0.350 0.338 1.187
0.350 0.338 1.188
0.350 0.338 1.188
0.350 0.341 1.134
